Datetime,Demand,Production,SelfConsumption,GridConsumption,ExportToGrid
2023-12-25,2181.0,20238.0,834.0,1347.0,19404.0
2023-12-26,2199.0,22044.0,842.0,1357.0,21202.0
2023-12-27,2160.0,19539.0,817.0,1343.0,18722.0
2023-12-28,1944.0,9792.0,608.0,1336.0,9184.0
2023-12-29,1935.0,5644.0,620.0,1315.0,5024.0
2023-12-30,2092.0,18100.0,808.0,1284.0,17292.0
2023-12-31,1987.0,6379.0,686.0,1301.0,5693.0
