Datetime,GWP100_GridConsumption,GWP100_PV_SelfConsumption,GWP100_PV_ExportToGrid,GWP100_Balance,GWP100_Saved,ADP_fossil_GridConsumption,ADP_fossil_PV_SelfConsumption,ADP_fossil_PV_ExportToGrid,ADP_fossil_Balance,ADP_fossil_Saved,ADP_elements_GridConsumption,ADP_elements_PV_SelfConsumption,ADP_elements_PV_ExportToGrid,ADP_elements_Balance,ADP_elements_Saved,UDP_GridConsumption,UDP_PV_SelfConsumption,UDP_PV_ExportToGrid,UDP_Balance,UDP_Saved
2020-01-01,204.99387803459783,45.20349130519458,-977.9021952357095,-727.7048258959171,1023.1056865409041,9472.631479467529,648.8406481022238,-14036.58602061144,-3915.1138930416873,14685.426668713662,0.0002693739473860944,0.00029472,-0.006375776,-0.005811682052613905,0.006670496,88.12274859420361,9.351748888672532,-202.30950095828246,-104.83500347540631,211.661249846955
2020-01-02,233.42135281979998,56.45727716138365,-904.0227391337821,-614.1441091525985,960.4800162951658,9068.009784414331,810.3749344526732,-12976.137086369368,-3097.752367502364,13786.512020822041,0.00032620449382168273,0.000368093,-0.0058940929999999996,-0.005199795506178316,0.0062621859999999994,83.44775921966125,11.679944705748298,-187.0252363683583,-91.89753244294874,198.70518107410658
2020-01-03,215.58487513194862,40.353533383908086,-367.2312798845964,-111.2928713687397,407.5848132685045,9013.5641260193,579.225453566256,-5271.154390155461,4321.635189430095,5850.379843721717,0.0003227457576605737,0.000263099,-0.002394293,-0.0018084482423394263,0.002657392,86.45879392486636,8.348384164158709,-75.97321831537197,18.833959773653092,84.32160247953067
2020-01-04,162.69015217344432,45.06223039486585,-830.9437615237175,-623.1913789554073,876.0059919185834,8079.221922440875,646.8130210769043,-11927.178038604106,-3201.143095086327,12573.991059681011,0.0003307119364289221,0.00029379899999999997,-0.005417628999999999,-0.004793118063571077,0.005711427999999999,81.87590268256912,9.322524673395431,-171.90657566500437,-80.70814830903981,181.2291003383998
2020-01-05,197.37042816840074,47.36949193023516,-962.1751472191106,-717.4352271204748,1009.5446391493458,9152.028955916381,679.9309291571219,-13810.843545125876,-3978.883660052372,14490.774474282998,0.0002988333387478312,0.000308842,-0.0062732379999999996,-0.005665562661252168,0.00658208,90.77791525603551,9.799853522921424,-199.0558716574318,-98.47810287847486,208.8557251803532
2020-01-06,243.6019856969841,89.37106926797846,-1000.4097669480876,-667.4367119831251,1089.780836216066,10823.643840748131,1282.812031352105,-14359.65459331234,-2253.198721212104,15642.466624664445,0.0003451767652839251,0.000582686,-0.006522521999999999,-0.005594659234716074,0.007105207999999999,105.01700094973596,18.489186865312988,-206.965892592434,-83.45970477738504,225.455079457747
2020-01-07,278.3648969989145,49.488405585166156,-1092.041010781326,-764.1877081972452,1141.5294163664921,9226.33349159397,710.3453345369137,-15674.908657069554,-5738.22983093867,16385.253991606467,0.00031973848925033243,0.00032265699999999996,-0.007119944,-0.006477548510749667,0.007442600999999999,82.49410899480431,10.23821675207795,-225.9226669021806,-133.19034115529834,236.16088365425855
2020-01-08,273.4823192943093,47.74618769111178,-1060.5398277780184,-739.3113207925974,1108.2860154691302,8873.846356660828,685.3379345579738,-15222.747830423317,-5663.563539204515,15908.085764981292,0.0003077537876410948,0.000311298,-0.006914561,-0.006295509212358905,0.007225858999999999,79.81078917749701,9.877784763660362,-219.40566689538693,-129.71709295422954,229.2834516590473
2020-01-09,232.81694577148002,47.275317990016006,-988.2613286598166,-708.1690648983206,1035.5366466498326,8130.867192172399,678.579177806909,-14185.278669134867,-5375.832299155558,14863.857846941775,0.00034083828631784887,0.00030822799999999996,-0.006443315999999999,-0.00579424971368215,0.006751543999999999,76.12072599252909,9.78037071273669,-204.45261007860324,-118.55151337333746,214.23298079133994
2020-01-10,211.2640187819175,47.93453557155009,-926.9070066070369,-667.7084522535692,974.841542178587,7467.067941069754,688.0414372583997,-13304.612664471118,-5149.5032861429645,13992.654101729519,0.000341527067376016,0.000312526,-0.006043295,-0.005389241932623984,0.006355820999999999,72.25003210983253,9.91675038402983,-191.75955924324876,-109.5927767493864,201.67630962727858
2020-01-11,245.68483522920945,47.51075284056389,-1158.810334396707,-865.6147463269338,1206.3210872372708,8564.458892568084,681.9585561824414,-16633.30036437055,-7386.8829156200245,17315.25892055299,0.00030331910667677595,0.000309763,-0.007555269999999999,-0.006942187893323223,0.007865032999999999,80.48351807348175,9.829077738198526,-239.73597932315732,-149.42338351147706,249.56505706135584
2020-01-12,268.5187727849482,47.36949193023516,-1149.4871143150106,-833.5988495998272,1196.8566062452458,9119.705758424307,679.9309291571219,-16499.476980699463,-6699.8402931180335,17179.407909856585,0.00030388855316132836,0.000308842,-0.007494483999999999,-0.006881753446838671,0.007803325999999999,84.19975205186532,9.799853522921424,-237.8071811148686,-143.80757554008187,247.60703463779004
2020-01-13,260.5506921948579,45.90979585683825,-998.0554184426088,-691.5949303909126,1043.965214299447,8203.950029383552,658.9787832288209,-14325.860809557014,-5462.931996944642,14984.839592785835,0.00033410421777551366,0.00029932499999999997,-0.0065071719999999994,-0.005873742782224486,0.006806496999999999,74.37846766197401,9.49786996505804,-206.47882233781561,-122.60248471078356,215.97669230287366
2020-01-14,164.87546726431302,42.802055829606125,-818.7482362653369,-611.0707131714178,861.5502920949431,6964.043077897834,614.370988671793,-11752.126238751527,-4173.712172181899,12366.49722742332,0.00034322256929915465,0.00027906299999999997,-0.0053381159999999995,-0.004715830430700845,0.005617179,69.72159866499561,8.854937228961804,-169.38355174608125,-90.80701585212384,178.23848897504305
